patronyme,count
BAYLE,1538
PARMENTIER,1537
FORTIN,1534
COUDERC,1533
GUILLEMIN,1531
LALANNE,1529
BELLANGER,1511
MOUTON,1511
SOULIER,1511
BERARD,1511
GOSSELIN,1510
BROSSARD,1506
FERRARI,1500
SCHMIDT,1498
BLONDEAU,1497
LAVIGNE,1496
BOUQUET,1494
JULLIEN,1493
BOUCHARD,1492
LAFONT,1491
FELIX,1486
CHATELAIN,1484
ABADIE,1483
LAVERGNE,1482
GUEGUEN,1482
JOUVE,1478
LETELLIER,1478
DUPIN,1476
POISSON,1476
MILLOT,1475
BASSET,1474
RIGAL,1471
ARMAND,1470
ROSE,1470
JAMET,1467
PRIGENT,1464
BERTHET,1461
GRANDJEAN,1455
VERNET,1451
BORDES,1450
LE ROY,1446
MAYER,1445
HUSSON,1441
TERRIER,1438
CAMARA,1437
PICOT,1434
FERRER,1430
LACOUR,1430
LAGRANGE,1424
DUMOULIN,1424
CHAMPION,1424
CLAUDE,1420
BARREAU,1418
BUREAU,1414
BARRET,1413
CARRERE,1412
LALLEMAND,1411
CHABERT,1411
FORT,1410
LEVASSEUR,1409
LEBLOND,1409
JOLLY,1409
MERLIN,1404
SALLES,1402
DROUET,1401
GUILLARD,1394
RAYNAL,1394
LEDOUX,1394
BATAILLE,1393
DE OLIVEIRA,1389
JEANNE,1386
BRUNO,1385
PRIEUR,1384
JUNG,1383
KELLER,1381
LELEU,1380
VACHER,1379
DIJOUX,1379
MIGNOT,1379
BAUD,1378
DE SOUSA,1378
BOCQUET,1376
GUIRAUD,1376
SICARD,1373
COMBE,1371
SOLER,1368
SAUNIER,1367
LABAT,1367
WALTER,1364
BOREL,1361
FERRY,1357
VILLARD,1356
PROST,1353
MONTAGNE,1352
BON,1352
ANDRIEUX,1350
PAPIN,1349
SAVARY,1349
TARDY,1344
SALAUN,1344
BOURDIN,1343
PUECH,1342
CORNET,1341
SANTIAGO,1340
PROVOST,1338
JOLIVET,1336
MONIER,1336
GUILLEMOT,1334
MONNET,1334
SALOMON,1326
VIVIER,1325
LANG,1323
TISSOT,1323
DIOP,1319
LE BIHAN,1316
BINET,1312
GIL,1312
GICQUEL,1306
DUJARDIN,1304
JOUAN,1303
TRAORE,1302
ESNAULT,1301
TELLIER,1296
LEFRANCOIS,1295
PELISSIER,1293
RAMOS,1291
CADET,1289
BONNEFOY,1288
CONSTANTIN,1285
DIAS,1282
ARNOULD,1280
CORTES,1278
BLAISE,1278
LERAY,1275
LEMARCHAND,1274
SMITH,1272
LELONG,1269
SARRAZIN,1266
BONNARD,1264
COCHET,1263
GODEFROY,1260
BOUCHE,1260
MAITRE,1259
ARNOUX,1252
JACQUEMIN,1251
COUDERT,1249
CHEVRIER,1249
LAPEYRE,1248
BAUDIN,1247
GUIGNARD,1244
PORTE,1244
BOISSON,1244
MAGNE,1242
BEAUFILS,1238
VIGNERON,1237
GONZALES,1235
BOIS,1235
GROSJEAN,1235
LECUYER,1232
VIGIER,1231
SELLIER,1230
POULET,1229
SERRA,1227
GOUJON,1226
AUBIN,1225
MIQUEL,1225
LEFEUVRE,1223
MICHON,1222
GRIMAUD,1222
THIEBAUT,1221
TECHER,1219
POUGET,1218
CARRIERE,1218
FOULON,1218
MANGIN,1218
TOURE,1215
FLORES,1215
BEAUMONT,1214
LE GUEN,1213
TEIXEIRA,1213
LY,1212
THEBAULT,1211
FOURCADE,1210
FAUCHER,1210
COSTES,1207
MONTEIL,1206
DUPRAT,1203
SCHWARTZ,1203
CHEN,1202
PAIN,1202
ZIMMERMANN,1200
CLAVEL,1200
BONIN,1199
AMAR,1196
LASSALLE,1196
DURET,1196
BOUDET,1196
CAILLAUD,1195
RAMBAUD,1193
MOHAMED,1192
LAURET,1190
BARRIERE,1188
FOUCAULT,1186
LAMOTTE,1185
DORE,1184
CORRE,1184
THIERY,1183
CHOLLET,1181
BOIVIN,1179
WANG,1179
TISSIER,1178
BELIN,1177
GABRIEL,1176
LE FLOCH,1176
JIMENEZ,1174
BOUTET,1173
SOULIE,1170
FOREST,1166
ROUXEL,1166
TAVERNIER,1165
DEJEAN,1164
JARRY,1164
BAUDOUIN,1163
BAUDET,1162
PASQUET,1162
KIEFFER,1161
DELPECH,1161
GODET,1161
POLLET,1159
QUERE,1158
FAYE,1156
DUCROCQ,1155
BASTIEN,1155
SERRES,1154
ESTEVE,1153
PAYEN,1152
DUBOURG,1151
DESHAYES,1151
ASTIER,1150
BOURGUIGNON,1150
ROTH,1150
MOLINA,1148
LE,1148
LEFRANC,1147
