prenom,sum
ARIANE,1791
GILDAS,1777
OSCAR,1776
FOUAD,1774
GEOFFROY,1765
DYLAN,1762
SYLVAINE,1759
ANDREW,1746
YOUCEF,1746
MARCO,1737
FATMA,1735
FLORA,1705
ABDELKRIM,1702
EDGARD,1701
STEEVE,1697
FLORE,1697
ALDO,1696
SOLENE,1694
ROSALIE,1690
MAXENCE,1686
FRANTZ,1676
ADAM,1675
KHALED,1663
NANCY,1663
YACINE,1653
BARTHELEMY,1646
FRED,1644
ARMEL,1635
KLEBER,1634
SAMY,1628
VAN,1627
CASIMIR,1625
ARISTIDE,1622
ARMANDE,1621
ERIKA,1618
SAMANTHA,1613
LINA,1611
ELOI,1604
JASON,1602
FLAVIEN,1597
ADEL,1588
RAPHAELLE,1582
NOUREDDINE,1581
JESSY,1581
LARBI,1574
ALICIA,1570
MANUELA,1570
ABDERRAHMANE,1570
LAHCEN,1564
AUGUSTA,1558
CHRISTELE,1556
DIT,1553
FATIHA,1553
NORDINE,1549
FRANCO,1548
GUYLAINE,1548
YOAN,1546
ANNY,1540
REJANE,1534
OCEANE,1532
ISIDORE,1531
NINA,1531
ISMAEL,1530
HELENA,1529
ROBERTO,1519
TIPHAINE,1517
KELLY,1509
SAMIA,1509
AHMET,1492
JACOB,1491
ANTONIA,1490
NORA,1483
ISABEL,1483
MARGOT,1479
ALEXANDRINE,1474
ROSINE,1472
YVELINE,1472
SAMIRA,1471
MALIK,1464
VICTOIRE,1461
ISMAIL,1460
KARIMA,1459
FELICIEN,1458
CHRYSTELLE,1456
RODRIGUE,1455
GWENAEL,1455
ISAAC,1454
AUGUSTO,1453
KIM,1451
NATHAN,1451
THIBAUD,1446
ANGELINA,1446
NAIMA,1446
MARK,1444
ANGELINE,1442
BLAISE,1429
ZOHRA,1429
JAN,1429
JENNY,1425
PRISCILLA,1419
MARILYNE,1399
ABDEL,1396
GERVAIS,1391
DALILA,1389
KAMAL,1388
CRISTINA,1388
ROXANE,1387
ALISON,1381
MOULOUD,1381
GWENDOLINE,1379
JAMAL,1379
BELKACEM,1376
ANN,1374
TANGUY,1372
PAULA,1371
DESIREE,1369
ADELAIDE,1368
VIVIEN,1367
LEONTINE,1366
AXELLE,1365
DAVY,1364
FILS,1361
MARI,1357
CLOVIS,1357
CONSTANTIN,1354
MAXIMILIEN,1346
SLIMANE,1346
GIL,1343
CHERIF,1341
VIOLAINE,1341
BERENGERE,1340
CLAUDIUS,1339
HAMZA,1339
EDWARD,1336
FREDERICK,1330
HARRY,1329
STELLA,1329
WALID,1326
YAMINA,1319
YASMINA,1315
VICTORINE,1314
MAR,1313
TIMOTHEE,1310
IRMA,1308
CHRISTINA,1305
FRANCETTE,1304
LYSIANE,1303
DIANA,1303
DIEGO,1300
ELOISE,1292
TOM,1292
RICARDO,1292
DORIAN,1292
AMBROISE,1291
SERGIO,1289
HIPPOLYTE,1289
GLADYS,1284
IRENEE,1282
LUCIA,1278
MILOUD,1274
ABDELHAMID,1274
MAHMOUD,1272
BACHIR,1267
HILAIRE,1265
HECTOR,1265
MARGARET,1261
JOANNA,1259
ELIETTE,1255
BASILE,1251
EVELINE,1251
ZOE,1250
HEDI,1248
MAITE,1245
SALEM,1242
MARIETTE,1237
GAUTHIER,1233
PAMELA,1227
PHILIP,1218
AMAURY,1212
TOUSSAINT,1209
MA,1204
ADRIAN,1193
CYPRIEN,1187
RONALD,1186
ABRAHAM,1185
BERANGERE,1175
HASAN,1174
EDGAR,1172
TANIA,1170
AISSA,1168
JAMEL,1168
LOUISA,1166
SYLVESTRE,1159
SUZETTE,1157
MESSAOUD,1157
ALEXANDER,1156
FILIPE,1154
JULIAN,1153
MOHAMMAD,1146
MIKE,1146
ROSETTE,1142
GARY,1141
ARMANDO,1140
PAOLO,1139
CHARLIE,1135
SALOMON,1129
CAROL,1127
FARIDA,1126
URBAIN,1125
SACHA,1124
HELOISE,1120
LAURETTE,1120
TARIK,1118
ALLAN,1116
HANS,1111
IGNACE,1109
NELSON,1104
LAURIANE,1103
BRIAN,1100
GRAZIELLA,1099
YOUNES,1085
VIRGILE,1084
HORTENSE,1084
DA,1082
ADIL,1081
YAN,1081
SOPHIA,1077
VLADIMIR,1075
CARLO,1075
MATTHIAS,1069
IGOR,1068
FELICIE,1068
STEFAN,1064
MELODIE,1064
JORIS,1057
ULYSSE,1056
HUSEYIN,1054
IBRAHIMA,1039
MURAT,1034
KHADIJA,1030
JANY,1025
DAN,1024
SMAIL,1022
HASSEN,1020
AMINA,1017
GUISEPPE,1017
NARCISSE,1014
LOU,1011
EDDIE,1008
EMILIA,1007
EMERIC,1006
NASSER,1004
JOHANNES,1004
ENZO,1002
ERIK,1001
RAFAEL,995
PAOLA,992
RACHIDA,992
ABDERRAHIM,984
DORIS,982
JOANNES,981
AMANDA,980
TERESA,980
VINCENZO,979
ERNESTINE,976
AREZKI,973
JOAN,968
SUSAN,964
ALFREDO,962
JULIO,958
TIFFANY,952
RUI,951
REYNALD,946
AMMAR,942
LEANDRE,942
SUZY,940
MOKHTAR,939
MERCEDES,937
FAYCAL,934
JANICK,931
GUILHEM,931
GASPARD,930
CYRIELLE,930
SORAYA,924
PHILOMENE,924
ABDOULAYE,923
CARL,923
SOFIA,922
LOTFI,920
DJAMILA,919
DANIELA,918
RUTH,917
ANATOLE,914
LYNDA,914
HAMED,912
NATALIA,911
LE,909
PABLO,909
VASILE,908
CARLA,907
ZAKARIA,906
AMADOU,906
GABY,906
RAMON,905
